barrio,latitud,longitud
Agronomia,-34.6,-58.48333
Almagro,-34.6,-58.41667
Almirante-Brown,-34.66667,-58.45
Balbastro,-34.65,-58.46667
Balvanera,-34.61018,-58.40654
Barracas,-34.65,-58.36667
Barrio-Norte,-34.58333,-58.4
Belgrano,-34.56667,-58.46667
Boca,-34.63333,-58.35
Boedo,-34.63333,-58.41667
Bonorino,-34.63333,-58.46667
Buenos-Aires,-34.61315,-58.37723
Caballito,-34.61667,-58.45
Cafferata,-34.63333,-58.43333
Calaza,-34.66667,-58.48333
Centro,-34.6,-58.38333
Chacarita,-34.58333,-58.45
Ciudad-Autonoma-de-Buenos-Aires,-34.6,-58.45
Coghlan,-34.56667,-58.46667
Colegiales,-34.58333,-58.45
Colelache,-42.58333,-69.08333
Colhue-Huapi,-45.71667,-68.93333
Comandante-L-Piedrabuena,-34.68333,-58.5
Congreso,-34.61667,-58.4
Constitucion,-34.61667,-58.38333
Dolavon,-43.3,-65.7
Dos-Pozos,-43.9,-65.41667
El-Maiten,-42.05,-71.16667
El-Sombrero,-44.16667,-68.26667
Emilio-Mitre,-34.63333,-58.43333
Epuyen,-42.23333,-71.35
Escalante,-45.75,-67.8
Facundo,-45.3,-69.96667
Flores,-34.63333,-58.46667
Floresta,-34.63333,-58.48333
Gan-Gan,-42.5,-68.26667
General-Jose-de-San-Martin,-34.58333,-58.51667
Isla-Demarchi,-34.61667,-58.35
Lacarra,-34.66667,-58.45
Liniers,-34.63333,-58.51667
Los-Perales,-34.66667,-58.51667
Luis-J-Garcia,-34.68333,-58.46667
Marcelo-Torcuato-de-Alvear,-34.65,-58.5
Mataderos,-34.66667,-58.5
Monte-Castro,-34.61667,-58.5
Montserrat,-34.61667,-58.38333
Nazca,-34.61438,-58.47894
Nueva-Chicago,-34.66667,-58.5
Nueva-Pompeya,-34.65,-58.43333
Nunez,-34.55,-58.45
Once,-34.60923,-58.40808
Palermo,-34.58333,-58.41667
Parque-Chacabuco,-34.63333,-58.45
Parque-Chas,-34.58333,-58.5
Parque-Patricios,-34.63333,-58.4
Paternal,-34.6,-58.46667
Presidente-Rivadavia,-34.65,-58.43333
Presidente-Roque-Saenz-Pena,-34.55,-58.5
Primera-Junta,-34.63333,-58.43333
"Puerto-Madero	,-34.6,-58.36667"
Puerto-Nuevo,-34.58333,-58.36667
Pueyrredon,-34.58333,-58.5
Ramon-L-Falcon,-34.65,-58.51667
Recoleta,-34.58333,-58.4
Retiro,-34.58333,-58.38333
Saavedra,-34.55,-58.46667
San-Cristobal,-34.63333,-58.38333
San-Telmo,-34.61667,-58.36667
Simon-Bolivar,-34.63333,-58.46667
Tellier,-34.68333,-58.46667
Varela,-34.63333,-58.46667
Velez-Sarsfield,-34.63333,-58.48333
Versailles,-34.63333,-58.51667
Villa-Crespo,-34.6,-58.45
Villa-del-Parque,-34.6,-58.48333
Villa-Devoto,-34.6,-58.51667
Villa-General-Mitre,-34.61667,-58.46667
Villa-Lamadrid,-34.66667,-58.51667
Villa-Lugano,-34.68333,-58.46667
Villa-Luro,-34.63333,-58.5
Villa-Ortuzar,-34.58333,-58.48333
Villa-Real,-34.61667,-58.53333
Villa-Riachuelo,-34.7,-58.46667"
Villa-Santa-Rita,-34.61477,-58.47971
Villa-Soldati,-34.66667,-58.45
Villa-Urquiza,-34.56667,-58.48333
